comment_id,stakeholder,provision_reference,date,comment_text,sentiment_label,cleaned,predicted_sentiment
57,Consultant,Section 12,2024-05-15,Chance note leader degree question song hand truth. This clause will create difficulties and must be reconsidered.,Negative,chance note leader degree question song hand truth clause create difficulties must reconsidered,NEGATIVE
58,Individual,Clause 7,2024-02-10,Economy success tough feeling know meet set risk majority. It has both advantages and drawbacks depending on context.,Neutral,economy success tough feeling know meet set risk majority advantages drawbacks depending context,NEGATIVE
59,Auditor,Section 16,2024-04-05,Attention small benefit collection policy view condition single teach trial foot. It has both advantages and drawbacks depending on context.,Neutral,attention small benefit collection policy view condition single teach trial foot advantages drawbacks depending context,NEGATIVE
60,Consultant,Section 16,2024-07-27,Work why election speak woman unit single opportunity everyone program impact draw ready those. This change is beneficial and should be welcomed.,Positive,work election speak woman unit single opportunity everyone program impact draw ready change beneficial welcomed,POSITIVE
61,Individual,Section 9,2024-04-30,Customer run raise near teach fight site while. It has both advantages and drawbacks depending on context.,Neutral,customer run raise near teach fight site advantages drawbacks depending context,NEGATIVE
62,Company,Section 5,2024-10-25,In buy debate scientist including part daughter grow focus common least all. It has both advantages and drawbacks depending on context.,Neutral,buy debate scientist including part daughter grow focus common least advantages drawbacks depending context,NEGATIVE
63,Auditor,Overall Draft,2024-10-02,There issue every anything put make either. It has both advantages and drawbacks depending on context.,Neutral,issue every anything put make either advantages drawbacks depending context,NEGATIVE
64,Consultant,Clause 4,2024-05-07,Alone source who rock major see want message. This clause will create difficulties and must be reconsidered.,Negative,alone source rock major see want message clause create difficulties must reconsidered,NEGATIVE
65,Individual,Section 4,2024-04-19,Pay across oil enjoy other each democratic return others check after. This clause will create difficulties and must be reconsidered.,Negative,pay across oil enjoy democratic return others check clause create difficulties must reconsidered,NEGATIVE
66,Company,Section 7,2024-01-21,Name visit hour there worry growth executive more gun today ready. This change is beneficial and should be welcomed.,Positive,name visit hour worry growth executive gun today ready change beneficial welcomed,POSITIVE
67,Regulator,Clause 6,2024-05-15,Fill fight meeting help in through a. It has both advantages and drawbacks depending on context.,Neutral,fill fight meeting help advantages drawbacks depending context,NEGATIVE
68,NGO,Section 6,2024-02-16,Many management describe action life my thus. This change is beneficial and should be welcomed.,Positive,many management describe action life thus change beneficial welcomed,POSITIVE
69,Lawyer,Section 20,2024-02-24,Main discussion officer street example into bag buy. It has both advantages and drawbacks depending on context.,Neutral,main discussion officer street example bag buy advantages drawbacks depending context,NEGATIVE
70,NGO,Section 11,2024-02-18,Seven too federal notice Republican right everything meeting week. It has both advantages and drawbacks depending on context.,Neutral,seven federal notice republican right everything meeting week advantages drawbacks depending context,NEGATIVE
71,Consultant,Clause 7,2024-09-03,War by unit might group majority customer significant expect near site outside once modern weight. This clause will create difficulties and must be reconsidered.,Negative,war unit might group majority customer significant expect near site outside modern weight clause create difficulties must reconsidered,NEGATIVE
72,Regulator,Section 9,2024-07-14,Article it pattern general degree guess many discussion morning while owner miss deep. This change is beneficial and should be welcomed.,Positive,article pattern general degree guess many discussion morning owner miss deep change beneficial welcomed,POSITIVE
73,Lawyer,Section 17,2024-09-05,Still among modern test theory wear budget including interest out me sell allow. This clause will create difficulties and must be reconsidered.,Negative,still among modern test theory wear budget including interest sell allow clause create difficulties must reconsidered,NEGATIVE
74,Lawyer,Section 13,2024-05-05,Painting role see large call seek beat north benefit trip trouble less parent score. It has both advantages and drawbacks depending on context.,Neutral,painting role see large call seek beat north benefit trip trouble less parent score advantages drawbacks depending context,NEGATIVE
75,NGO,Section 10,2024-04-15,Officer practice show individual herself speak safe them bag want world total. It has both advantages and drawbacks depending on context.,Neutral,officer practice show individual speak safe bag want world total advantages drawbacks depending context,NEGATIVE
76,Auditor,Section 1,2024-01-20,Build against experience million reach carry close beat memory number instead radio. It has both advantages and drawbacks depending on context.,Neutral,build experience million reach carry close beat memory number instead radio advantages drawbacks depending context,NEGATIVE
77,Individual,Section 15,2024-09-01,Leg their option understand gun offer who. This clause will create difficulties and must be reconsidered.,Negative,leg option understand gun offer clause create difficulties must reconsidered,NEGATIVE
78,Lawyer,Section 19,2024-04-06,Message contain American leg anyone play thousand. This clause will create difficulties and must be reconsidered.,Negative,message contain american leg anyone play thousand clause create difficulties must reconsidered,NEGATIVE
79,Company,Clause 9,2024-08-05,It heavy better level think action all. This clause will create difficulties and must be reconsidered.,Negative,heavy better level think action clause create difficulties must reconsidered,NEGATIVE
80,Individual,Clause 1,2024-04-01,Else summer hair could watch exist system join budget real. It has both advantages and drawbacks depending on context.,Neutral,else summer hair could watch exist system join budget real advantages drawbacks depending context,NEGATIVE
81,Consultant,Clause 6,2024-08-28,Again raise fast happen yet billion you stuff consumer leg dog beyond same short anyone. This change is beneficial and should be welcomed.,Positive,raise fast happen yet billion stuff consumer leg dog beyond short anyone change beneficial welcomed,POSITIVE
82,Regulator,Section 5,2024-09-09,Scene I attack administration I medical two professor they could thank carry author be radio. It has both advantages and drawbacks depending on context.,Neutral,scene attack administration medical two professor could thank carry author radio advantages drawbacks depending context,NEGATIVE
83,Auditor,Clause 1,2024-07-15,Chair say education wife enough although since culture not specific eye soon hotel. This change is beneficial and should be welcomed.,Positive,chair say education wife enough although since culture specific eye soon hotel change beneficial welcomed,POSITIVE
84,NGO,Section 7,2024-08-18,Age letter break brother country heavy suffer look just success although course rise against. It has both advantages and drawbacks depending on context.,Neutral,age letter break brother country heavy suffer look success although course rise advantages drawbacks depending context,NEGATIVE
85,Auditor,Section 8,2024-02-06,Spring name forward night walk tough development modern lead indicate up fine family attorney teacher. It has both advantages and drawbacks depending on context.,Neutral,spring name forward night walk tough development modern lead indicate fine family attorney teacher advantages drawbacks depending context,NEGATIVE
86,Lawyer,Clause 5,2024-03-17,End loss agreement require hand plan human quickly minute wish. It has both advantages and drawbacks depending on context.,Neutral,end loss agreement require hand plan human quickly minute wish advantages drawbacks depending context,NEGATIVE
87,Regulator,Section 7,2024-06-23,Show leg structure improve per nation may course minute risk table claim take within. It has both advantages and drawbacks depending on context.,Neutral,show leg structure improve per nation may course minute risk table claim take within advantages drawbacks depending context,NEGATIVE
88,NGO,Section 18,2024-01-01,Travel second happen though receive parent buy positive business send even national whole career agree wide. This change is beneficial and should be welcomed.,Positive,travel second happen though receive parent buy positive business send even national whole career agree wide change beneficial welcomed,POSITIVE
89,Auditor,Clause 8,2024-06-02,They yet type seek data recent short indicate if else institution cold make evening. It has both advantages and drawbacks depending on context.,Neutral,yet type seek data recent short indicate else institution cold make evening advantages drawbacks depending context,NEGATIVE
90,Company,Clause 10,2024-04-27,Garden concern executive final material too try bar really whether of different yourself window stage. It has both advantages and drawbacks depending on context.,Neutral,garden concern executive final material try bar really whether different window stage advantages drawbacks depending context,NEGATIVE
91,Individual,Section 9,2024-06-18,Three shake activity animal yeah six quality matter hold positive traditional clear plan. This clause will create difficulties and must be reconsidered.,Negative,three shake activity animal yeah six quality matter hold positive traditional clear plan clause create difficulties must reconsidered,NEGATIVE
92,Company,Clause 10,2024-07-17,When respond sister animal energy into food husband science so. It has both advantages and drawbacks depending on context.,Neutral,respond sister animal energy food husband science advantages drawbacks depending context,NEGATIVE
93,NGO,Section 6,2024-03-31,Campaign late to around information yard measure campaign purpose expert. It has both advantages and drawbacks depending on context.,Neutral,campaign late around information yard measure campaign purpose expert advantages drawbacks depending context,NEGATIVE
94,Regulator,Section 12,2024-08-04,On even many difficult structure clearly believe evening newspaper off I if. It has both advantages and drawbacks depending on context.,Neutral,even many difficult structure clearly believe evening newspaper advantages drawbacks depending context,NEGATIVE
95,NGO,Clause 4,2024-10-15,Suggest material painting throw respond perhaps company team. This clause will create difficulties and must be reconsidered.,Negative,suggest material painting throw respond perhaps company team clause create difficulties must reconsidered,NEGATIVE
96,Company,Section 20,2024-07-29,Green unit under hear sometimes recently time itself writer discussion me arrive moment American security. This clause will create difficulties and must be reconsidered.,Negative,green unit hear sometimes recently time writer discussion arrive moment american security clause create difficulties must reconsidered,NEGATIVE
97,Regulator,Section 7,2024-10-27,Institution strategy career teacher health fall successful. It has both advantages and drawbacks depending on context.,Neutral,institution strategy career teacher health fall successful advantages drawbacks depending context,NEGATIVE
98,Individual,Section 9,2024-08-04,Center approach herself exist character follow beautiful claim those. This change is beneficial and should be welcomed.,Positive,center approach exist character follow beautiful claim change beneficial welcomed,POSITIVE
99,Individual,Section 17,2024-08-29,Partner story capital federal beyond growth few shake information compare provide thousand. It has both advantages and drawbacks depending on context.,Neutral,partner story capital federal beyond growth shake information compare provide thousand advantages drawbacks depending context,NEGATIVE
100,Company,Clause 2,2024-08-14,Billion discussion see success test myself where activity discussion evidence group could senior account face. This clause will create difficulties and must be reconsidered.,Negative,billion discussion see success test activity discussion evidence group could senior account face clause create difficulties must reconsidered,NEGATIVE
101,Consultant,Clause 1,2024-05-21,Particular mother foot history everybody image personal win real continue author. It has both advantages and drawbacks depending on context.,Neutral,particular mother foot history everybody image personal win real continue author advantages drawbacks depending context,NEGATIVE
102,NGO,Clause 10,2024-02-29,Role dream woman news happen again less so western itself sort view party forward. It has both advantages and drawbacks depending on context.,Neutral,role dream woman news happen less western sort view party forward advantages drawbacks depending context,NEGATIVE
103,NGO,Section 19,2024-01-12,House TV possible recognize follow town tax whose black value have light suddenly government bar ready. This change is beneficial and should be welcomed.,Positive,house tv possible recognize follow town tax whose black value light suddenly government bar ready change beneficial welcomed,POSITIVE
104,Lawyer,Section 19,2024-04-16,Partner woman anyone carry water financial care term protect course child. This clause will create difficulties and must be reconsidered.,Negative,partner woman anyone carry water financial care term protect course child clause create difficulties must reconsidered,NEGATIVE
105,NGO,Section 12,2024-02-09,Budget every artist whether guess form before central from seat. This change is beneficial and should be welcomed.,Positive,budget every artist whether guess form central seat change beneficial welcomed,POSITIVE
106,Auditor,Section 6,2024-01-14,Almost four daughter population wish sea stage drug try interest person. It has both advantages and drawbacks depending on context.,Neutral,almost four daughter population wish sea stage drug try interest person advantages drawbacks depending context,NEGATIVE
107,Regulator,Section 17,2024-07-02,Likely important protect Democrat certain seat home stop long lose customer stand security special. This clause will create difficulties and must be reconsidered.,Negative,likely important protect democrat certain seat home stop long lose customer stand security special clause create difficulties must reconsidered,NEGATIVE
108,Auditor,Clause 7,2024-06-22,Six effort training blood gas above this or deep growth doctor she process great. It has both advantages and drawbacks depending on context.,Neutral,six effort training blood gas deep growth doctor process great advantages drawbacks depending context,POSITIVE
109,Auditor,Overall Draft,2024-06-04,Today international I majority majority officer structure fly admit cut every. It has both advantages and drawbacks depending on context.,Neutral,today international majority majority officer structure fly admit cut every advantages drawbacks depending context,NEGATIVE
110,Consultant,Section 14,2024-09-30,East particularly despite Republican attorney prove red involve. This change is beneficial and should be welcomed.,Positive,east particularly despite republican attorney prove red involve change beneficial welcomed,POSITIVE
111,Auditor,Section 14,2024-04-28,Sell information power third last continue another Congress. It has both advantages and drawbacks depending on context.,Neutral,sell information power third last continue another congress advantages drawbacks depending context,NEGATIVE
112,NGO,Section 15,2024-05-03,Down dream though worry available local better. It has both advantages and drawbacks depending on context.,Neutral,dream though worry available local better advantages drawbacks depending context,NEGATIVE
113,NGO,Section 17,2024-01-13,Production impact good federal none cell policy camera. It has both advantages and drawbacks depending on context.,Neutral,production impact good federal none cell policy camera advantages drawbacks depending context,NEGATIVE
114,Individual,Clause 5,2024-04-09,Stuff ready attack such three little charge company science federal act financial lay feeling. It has both advantages and drawbacks depending on context.,Neutral,stuff ready attack three little charge company science federal act financial lay feeling advantages drawbacks depending context,NEGATIVE
115,Auditor,Section 8,2024-08-31,Example compare central exactly job policy every item shoulder Congress person girl early. This clause will create difficulties and must be reconsidered.,Negative,example compare central exactly job policy every item shoulder congress person girl early clause create difficulties must reconsidered,NEGATIVE
116,Regulator,Section 13,2024-05-31,Executive stand treatment step financial nothing certain entire serve as left million bad her. This change is beneficial and should be welcomed.,Positive,executive stand treatment step financial nothing certain entire serve left million bad change beneficial welcomed,NEGATIVE
117,Company,Section 15,2024-03-02,Ahead again who agree health always must certain. It has both advantages and drawbacks depending on context.,Neutral,ahead agree health always must certain advantages drawbacks depending context,POSITIVE
118,Regulator,Section 20,2024-09-26,Music when determine box role important capital scene west guy. This clause will create difficulties and must be reconsidered.,Negative,music determine box role important capital scene west guy clause create difficulties must reconsidered,NEGATIVE
119,NGO,Section 16,2024-02-16,Oil rest where away state huge current whether our morning grow contain again. This change is beneficial and should be welcomed.,Positive,oil rest away state huge current whether morning grow contain change beneficial welcomed,NEGATIVE
120,Company,Section 4,2024-02-13,Newspaper white better PM bar serve fact future program get test might. This clause will create difficulties and must be reconsidered.,Negative,newspaper white better pm bar serve fact future program get test might clause create difficulties must reconsidered,NEGATIVE
121,NGO,Section 8,2024-10-23,Significant usually hear officer cup career right tree house music. It has both advantages and drawbacks depending on context.,Neutral,significant usually hear officer cup career right tree house music advantages drawbacks depending context,POSITIVE
122,Lawyer,Clause 3,2024-03-14,May stock station especially town necessary development throw window discuss chance forward. This change is beneficial and should be welcomed.,Positive,may stock station especially town necessary development throw window discuss chance forward change beneficial welcomed,POSITIVE
123,Auditor,Section 6,2024-02-02,Window last set people meeting drug result everyone same effect down take land ten blue popular. This change is beneficial and should be welcomed.,Positive,window last set people meeting drug result everyone effect take land ten blue popular change beneficial welcomed,POSITIVE
124,Consultant,Overall Draft,2024-05-07,Gun subject institution both difference draw key season degree authority law present push idea country. This clause will create difficulties and must be reconsidered.,Negative,gun subject institution difference draw key season degree authority law present push idea country clause create difficulties must reconsidered,NEGATIVE
125,Lawyer,Section 12,2024-08-02,Feeling guess food people toward law bank rich the quickly relate. This clause will create difficulties and must be reconsidered.,Negative,feeling guess food people toward law bank rich quickly relate clause create difficulties must reconsidered,NEGATIVE
126,Lawyer,Section 13,2024-05-12,Million nation sister skill above example wind recently buy recent. It has both advantages and drawbacks depending on context.,Neutral,million nation sister skill example wind recently buy recent advantages drawbacks depending context,NEGATIVE
127,Company,Section 20,2024-06-24,All order center medical protect mind about these sport hour high. This clause will create difficulties and must be reconsidered.,Negative,order center medical protect mind sport hour high clause create difficulties must reconsidered,NEGATIVE
128,Consultant,Section 16,2024-01-14,Detail better toward crime magazine management purpose stuff black evidence cost benefit. It has both advantages and drawbacks depending on context.,Neutral,detail better toward crime magazine management purpose stuff black evidence cost benefit advantages drawbacks depending context,NEGATIVE
129,Company,Clause 10,2024-09-08,Pull eat small sing card bed political hard. This change is beneficial and should be welcomed.,Positive,pull eat small sing card bed political hard change beneficial welcomed,POSITIVE
130,Individual,Section 6,2024-01-07,City letter serious bar technology together clear cold top design seek eight company seem. It has both advantages and drawbacks depending on context.,Neutral,city letter serious bar technology together clear cold top design seek eight company seem advantages drawbacks depending context,NEGATIVE
131,Company,Overall Draft,2024-07-26,Detail must upon avoid identify job yeah some whom politics prepare stage. It has both advantages and drawbacks depending on context.,Neutral,detail must upon avoid identify job yeah politics prepare stage advantages drawbacks depending context,NEGATIVE
132,Regulator,Section 1,2024-10-06,Tree ok support human push stuff three fund. It has both advantages and drawbacks depending on context.,Neutral,tree ok support human push stuff three fund advantages drawbacks depending context,POSITIVE
133,Lawyer,Section 4,2024-07-22,Day college benefit reveal method glass against everything middle significant nor one agency south use adult. It has both advantages and drawbacks depending on context.,Neutral,day college benefit reveal method glass everything middle significant one agency south use adult advantages drawbacks depending context,NEGATIVE
134,Consultant,Section 6,2024-02-28,Politics difference sign actually budget color system positive in from poor world body officer. It has both advantages and drawbacks depending on context.,Neutral,politics difference sign actually budget color system positive poor world body officer advantages drawbacks depending context,NEGATIVE
135,Company,Section 9,2024-01-30,Born foot fear attorney degree couple sit finish feeling address top nothing new Mr. This clause will create difficulties and must be reconsidered.,Negative,born foot fear attorney degree couple sit finish feeling address top nothing new mr clause create difficulties must reconsidered,NEGATIVE
136,Auditor,Clause 2,2024-03-09,Voice address million current like trip improve support nearly community effect about. It has both advantages and drawbacks depending on context.,Neutral,voice address million current like trip improve support nearly community effect advantages drawbacks depending context,NEGATIVE
137,Consultant,Section 9,2024-10-25,Get specific skill board partner experience per. This clause will create difficulties and must be reconsidered.,Negative,get specific skill board partner experience per clause create difficulties must reconsidered,NEGATIVE
138,Consultant,Clause 10,2024-01-03,Ok entire get great offer special character into say enough. This clause will create difficulties and must be reconsidered.,Negative,ok entire get great offer special character say enough clause create difficulties must reconsidered,NEGATIVE
139,Auditor,Section 18,2024-01-10,Rate suffer hold budget notice often community employee money. This change is beneficial and should be welcomed.,Positive,rate suffer hold budget notice often community employee money change beneficial welcomed,POSITIVE
